Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
"{'y': 0.26096016, 'x': 0.46766698, 'confidence': 0.021478921}","{'y': 0.2259397, 'x': 0.52370226, 'confidence': 0.05665026}","{'y': 0.22196272, 'x': 0.4203162, 'confidence': 0.026991228}","{'y': 0.19560179, 'x': 0.5776277, 'confidence': 0.015905347}","{'y': 0.201723, 'x': 0.37735748, 'confidence': 0.015772136}","{'y': 0.30778468, 'x': 0.625673, 'confidence': 0.041181285}","{'y': 0.3059659, 'x': 0.3475848, 'confidence': 0.057610616}","{'y': 0.4071437, 'x': 0.6782481, 'confidence': 0.015758691}","{'y': 0.39075032, 'x': 0.29053167, 'confidence': 0.0374405}","{'y': 0.49033922, 'x': 0.6101521, 'confidence': 0.014019667}","{'y': 0.4310635, 'x': 0.37577525, 'confidence': 0.029511478}","{'y': 0.6324304, 'x': 0.6194241, 'confidence': 0.0409787}","{'y': 0.6094619, 'x': 0.43130976, 'confidence': 0.038159378}","{'y': 0.6858415, 'x': 0.50965965, 'confidence': 0.022836674}","{'y': 0.6622738, 'x': 0.38718358, 'confidence': 0.01727571}","{'y': 0.8766364, 'x': 0.4890456, 'confidence': 0.009391072}","{'y': 0.85376173, 'x': 0.41978282, 'confidence': 0.009620941}"
"{'y': 0.049205516, 'x': 0.4846263, 'confidence': 0.092173584}","{'y': 0.3464421, 'x': 0.595246, 'confidence': 0.035618134}","{'y': 0.03191996, 'x': 0.47577238, 'confidence': 0.07664296}","{'y': 0.32704479, 'x': 0.59487087, 'confidence': 0.022927681}","{'y': 0.31613582, 'x': 0.44629252, 'confidence': 0.0093016075}","{'y': 0.4412517, 'x': 0.6177594, 'confidence': 0.066194594}","{'y': 0.4285166, 'x': 0.3846538, 'confidence': 0.08170156}","{'y': 0.46702838, 'x': 0.6475864, 'confidence': 0.049499985}","{'y': 0.44829062, 'x': 0.39382857, 'confidence': 0.048988413}","{'y': 0.42789984, 'x': 0.6132338, 'confidence': 0.0722487}","{'y': 0.37926245, 'x': 0.5017097, 'confidence': 0.049614623}","{'y': 0.52012515, 'x': 0.5815841, 'confidence': 0.07291233}","{'y': 0.52033603, 'x': 0.43891585, 'confidence': 0.102079004}","{'y': 0.40228295, 'x': 0.62441576, 'confidence': 0.09510118}","{'y': 0.41467437, 'x': 0.3874665, 'confidence': 0.10355541}","{'y': 0.5375782, 'x': 0.60745746, 'confidence': 0.10686237}","{'y': 0.5242858, 'x': 0.44149652, 'confidence': 0.11013715}"
"{'y': 0.34312946, 'x': 0.5035976, 'confidence': 0.5379819}","{'y': 0.31295258, 'x': 0.5389645, 'confidence': 0.59106684}","{'y': 0.30557618, 'x': 0.4636419, 'confidence': 0.67578423}","{'y': 0.36072075, 'x': 0.5818052, 'confidence': 0.5316458}","{'y': 0.3471134, 'x': 0.3961949, 'confidence': 0.47584215}","{'y': 0.6265622, 'x': 0.62771845, 'confidence': 0.57167375}","{'y': 0.58147174, 'x': 0.25425223, 'confidence': 0.7605613}","{'y': 0.9366647, 'x': 0.7062199, 'confidence': 0.4143395}","{'y': 0.8122677, 'x': 0.11777362, 'confidence': 0.15456198}","{'y': 0.77155685, 'x': 0.7007878, 'confidence': 0.27747703}","{'y': 0.6975411, 'x': 0.05619494, 'confidence': 0.12193638}","{'y': 0.99299455, 'x': 0.5496855, 'confidence': 0.16165316}","{'y': 0.9955758, 'x': 0.27026197, 'confidence': 0.22776175}","{'y': 1.0105473, 'x': 0.52258277, 'confidence': 0.09553833}","{'y': 0.94002146, 'x': 0.25233632, 'confidence': 0.087678075}","{'y': 1.0250324, 'x': 0.37682265, 'confidence': 0.018670354}","{'y': 1.0055909, 'x': 0.25930154, 'confidence': 0.04369751}"
"{'y': 0.35799003, 'x': 0.47751138, 'confidence': 0.47778594}","{'y': 0.3255027, 'x': 0.513048, 'confidence': 0.6198238}","{'y': 0.32450962, 'x': 0.44075078, 'confidence': 0.6246342}","{'y': 0.35245815, 'x': 0.56198984, 'confidence': 0.5787648}","{'y': 0.3596749, 'x': 0.389157, 'confidence': 0.6041484}","{'y': 0.5635851, 'x': 0.6663696, 'confidence': 0.4969139}","{'y': 0.6361591, 'x': 0.27444333, 'confidence': 0.7171068}","{'y': 0.80865043, 'x': 0.72681814, 'confidence': 0.48521832}","{'y': 0.8152728, 'x': 0.17020325, 'confidence': 0.15808934}","{'y': 0.6173751, 'x': 0.6770838, 'confidence': 0.17519629}","{'y': 0.8561451, 'x': 0.08042108, 'confidence': 0.23420978}","{'y': 0.9932537, 'x': 0.5735315, 'confidence': 0.32798833}","{'y': 0.9961407, 'x': 0.37106428, 'confidence': 0.2828706}","{'y': 1.0106661, 'x': 0.54536617, 'confidence': 0.10259032}","{'y': 0.945911, 'x': 0.04829216, 'confidence': 0.06692256}","{'y': 1.0019332, 'x': 0.42609897, 'confidence': 0.03733487}","{'y': 0.9996074, 'x': 0.4117557, 'confidence': 0.075766824}"
"{'y': 0.3717337, 'x': 0.49798134, 'confidence': 0.2874225}","{'y': 0.34737182, 'x': 0.5198682, 'confidence': 0.3839898}","{'y': 0.3363964, 'x': 0.48104787, 'confidence': 0.43265894}","{'y': 0.39809826, 'x': 0.5720197, 'confidence': 0.31686485}","{'y': 0.3796099, 'x': 0.42009664, 'confidence': 0.27100557}","{'y': 0.69168025, 'x': 0.5608086, 'confidence': 0.3534796}","{'y': 0.66281134, 'x': 0.2965371, 'confidence': 0.3045276}","{'y': 0.7023046, 'x': 0.7094025, 'confidence': 0.04368999}","{'y': 0.8172866, 'x': 0.8398415, 'confidence': 0.18065897}","{'y': 0.68071, 'x': 0.5966416, 'confidence': 0.026130922}","{'y': 0.9683762, 'x': 0.30546048, 'confidence': 0.13715144}","{'y': 0.9947994, 'x': 0.5119629, 'confidence': 0.12624654}","{'y': 0.9937584, 'x': 0.32763073, 'confidence': 0.16703}","{'y': 0.98359114, 'x': 0.54977673, 'confidence': 0.16849543}","{'y': 0.927803, 'x': 0.2818191, 'confidence': 0.07838055}","{'y': 0.9963506, 'x': 0.48614565, 'confidence': 0.06866008}","{'y': 0.9850139, 'x': 0.31950516, 'confidence': 0.07436647}"
"{'y': 0.38871413, 'x': 0.4984575, 'confidence': 0.3848889}","{'y': 0.35538945, 'x': 0.53463393, 'confidence': 0.6546662}","{'y': 0.35925782, 'x': 0.46651807, 'confidence': 0.73944795}","{'y': 0.39015687, 'x': 0.5909903, 'confidence': 0.51742643}","{'y': 0.3968058, 'x': 0.42137858, 'confidence': 0.5423625}","{'y': 0.68300414, 'x': 0.70731574, 'confidence': 0.5012759}","{'y': 0.67028725, 'x': 0.38235208, 'confidence': 0.40442142}","{'y': 0.96091485, 'x': 0.85730815, 'confidence': 0.27399966}","{'y': 0.6193438, 'x': 0.263476, 'confidence': 0.115886986}","{'y': 0.5827992, 'x': 0.66018885, 'confidence': 0.031944178}","{'y': 0.59763867, 'x': 0.24365859, 'confidence': 0.17715494}","{'y': 0.99849224, 'x': 0.61065006, 'confidence': 0.16567919}","{'y': 0.9939555, 'x': 0.41742247, 'confidence': 0.175987}","{'y': 0.9402746, 'x': 0.6627806, 'confidence': 0.13489448}","{'y': 0.9916549, 'x': 0.149685, 'confidence': 0.044051737}","{'y': 0.9962335, 'x': 0.6321992, 'confidence': 0.039827116}","{'y': 0.9175652, 'x': 0.07326154, 'confidence': 0.092367865}"
"{'y': 0.32782245, 'x': 0.5050499, 'confidence': 0.20166156}","{'y': 0.31278318, 'x': 0.50514334, 'confidence': 0.18630889}","{'y': 0.3128918, 'x': 0.5026445, 'confidence': 0.16840018}","{'y': 0.32997203, 'x': 0.5265246, 'confidence': 0.22239159}","{'y': 0.31841743, 'x': 0.5104843, 'confidence': 0.16022272}","{'y': 0.44417292, 'x': 0.60622853, 'confidence': 0.20338038}","{'y': 0.44072685, 'x': 0.59323597, 'confidence': 0.2089169}","{'y': 0.5760409, 'x': 0.70197386, 'confidence': 0.087409705}","{'y': 0.6101444, 'x': 0.589726, 'confidence': 0.121842764}","{'y': 0.6624399, 'x': 0.64925575, 'confidence': 0.07247746}","{'y': 0.61404055, 'x': 0.5647588, 'confidence': 0.040194914}","{'y': 0.74625236, 'x': 0.6420301, 'confidence': 0.16473824}","{'y': 0.74500924, 'x': 0.62099683, 'confidence': 0.16072892}","{'y': 0.90890425, 'x': 0.6276978, 'confidence': 0.30696952}","{'y': 0.90978354, 'x': 0.62148464, 'confidence': 0.31574684}","{'y': 0.97636014, 'x': 0.63218397, 'confidence': 0.21815331}","{'y': 0.97497106, 'x': 0.6199607, 'confidence': 0.2173226}"
"{'y': 0.395672, 'x': 0.5498932, 'confidence': 0.20875889}","{'y': 0.3748402, 'x': 0.54539925, 'confidence': 0.20564987}","{'y': 0.37506816, 'x': 0.5449688, 'confidence': 0.20679171}","{'y': 0.36861792, 'x': 0.5705918, 'confidence': 0.22812465}","{'y': 0.36647415, 'x': 0.56247413, 'confidence': 0.32204214}","{'y': 0.4129047, 'x': 0.5837069, 'confidence': 0.34757018}","{'y': 0.41674212, 'x': 0.6100318, 'confidence': 0.35438728}","{'y': 0.59125257, 'x': 0.6122458, 'confidence': 0.13242407}","{'y': 0.5900439, 'x': 0.6186554, 'confidence': 0.13795486}","{'y': 0.688554, 'x': 0.6048116, 'confidence': 0.11071501}","{'y': 0.66867894, 'x': 0.60851675, 'confidence': 0.11499489}","{'y': 0.6121058, 'x': 0.62781984, 'confidence': 0.2031565}","{'y': 0.6121384, 'x': 0.6461097, 'confidence': 0.17499653}","{'y': 0.76746637, 'x': 0.617749, 'confidence': 0.18375245}","{'y': 0.8145318, 'x': 0.6305507, 'confidence': 0.1749197}","{'y': 0.9299046, 'x': 0.62810177, 'confidence': 0.29086167}","{'y': 0.93940794, 'x': 0.62737626, 'confidence': 0.33730766}"
"{'y': 0.4188938, 'x': 0.5232649, 'confidence': 0.34537047}","{'y': 0.3765617, 'x': 0.5660607, 'confidence': 0.52674925}","{'y': 0.38537544, 'x': 0.4819963, 'confidence': 0.6091134}","{'y': 0.40915766, 'x': 0.6358025, 'confidence': 0.60031724}","{'y': 0.42638707, 'x': 0.4328018, 'confidence': 0.38082063}","{'y': 0.7115312, 'x': 0.79167217, 'confidence': 0.46659988}","{'y': 0.7330689, 'x': 0.4306633, 'confidence': 0.41341075}","{'y': 0.93705964, 'x': 0.8961639, 'confidence': 0.22058032}","{'y': 0.7447576, 'x': 0.29760167, 'confidence': 0.042567335}","{'y': 0.6145724, 'x': 0.22143097, 'confidence': 0.118648194}","{'y': 0.6215512, 'x': 0.5071729, 'confidence': 0.014623109}","{'y': 1.0047884, 'x': 0.69532603, 'confidence': 0.08513879}","{'y': 0.98742586, 'x': 0.28633767, 'confidence': 0.07018613}","{'y': 1.0070077, 'x': 0.72613984, 'confidence': 0.058626514}","{'y': 0.9994063, 'x': 0.2012603, 'confidence': 0.09882941}","{'y': 0.99422055, 'x': 0.18575083, 'confidence': 0.039706916}","{'y': 0.98975825, 'x': 0.18727216, 'confidence': 0.047957852}"
"{'y': 0.4159957, 'x': 0.52436113, 'confidence': 0.20197514}","{'y': 0.3812936, 'x': 0.5398694, 'confidence': 0.23378061}","{'y': 0.37760022, 'x': 0.50583136, 'confidence': 0.24735653}","{'y': 0.43309897, 'x': 0.5873764, 'confidence': 0.22249238}","{'y': 0.48640192, 'x': 0.42184487, 'confidence': 0.06621081}","{'y': 0.80108756, 'x': 0.7467927, 'confidence': 0.18547887}","{'y': 0.67508245, 'x': 0.35000178, 'confidence': 0.14028764}","{'y': 0.83782774, 'x': 0.80835104, 'confidence': 0.10113577}","{'y': 0.9093468, 'x': 0.21136086, 'confidence': 0.19037528}","{'y': 0.89192617, 'x': 0.050889183, 'confidence': 0.21745422}","{'y': 0.52004844, 'x': 0.21442686, 'confidence': 0.12017155}","{'y': 0.98893404, 'x': 0.55277735, 'confidence': 0.089258656}","{'y': 0.9639475, 'x': 0.3937929, 'confidence': 0.04739527}","{'y': 1.0221413, 'x': 0.5347858, 'confidence': 0.17222257}","{'y': 0.89199823, 'x': 0.36496618, 'confidence': 0.05929269}","{'y': 0.89053214, 'x': 0.046371385, 'confidence': 0.16593038}","{'y': 0.9925009, 'x': 0.45964083, 'confidence': 0.024482248}"
