Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
"{'y': 0.0771547, 'x': 0.17771295, 'confidence': 0.2595879}","{'y': 0.072006285, 'x': 0.18159895, 'confidence': 0.3298225}","{'y': 0.07159157, 'x': 0.17130478, 'confidence': 0.31245914}","{'y': 0.42370367, 'x': 0.5033828, 'confidence': 0.020445291}","{'y': 0.0741653, 'x': 0.15576938, 'confidence': 0.2014087}","{'y': 0.47489128, 'x': 0.5081082, 'confidence': 0.031954553}","{'y': 0.43919528, 'x': 0.4131176, 'confidence': 0.03240992}","{'y': 0.54005694, 'x': 0.5989404, 'confidence': 0.028811827}","{'y': 0.164754, 'x': 0.1309218, 'confidence': 0.1969123}","{'y': 0.55414176, 'x': 0.590846, 'confidence': 0.014467175}","{'y': 0.20656852, 'x': 0.08047048, 'confidence': 0.22502355}","{'y': 0.69265044, 'x': 0.49856117, 'confidence': 0.03066756}","{'y': 0.69509876, 'x': 0.4117091, 'confidence': 0.023054138}","{'y': 0.80710155, 'x': 0.47727665, 'confidence': 0.02595512}","{'y': 0.8443478, 'x': 0.4907202, 'confidence': 0.041064672}","{'y': 0.98793626, 'x': 0.4357012, 'confidence': 0.023240162}","{'y': 0.98300403, 'x': 0.48604286, 'confidence': 0.028551135}"
"{'y': 0.3542008, 'x': 0.22825119, 'confidence': 0.09944996}","{'y': 0.3696845, 'x': 0.25297624, 'confidence': 0.12700002}","{'y': 0.36380145, 'x': 0.2539293, 'confidence': 0.095365}","{'y': 0.3491515, 'x': 0.27730438, 'confidence': 0.124549285}","{'y': 0.29280806, 'x': 0.196729, 'confidence': 0.107212655}","{'y': 0.3504228, 'x': 0.55349004, 'confidence': 0.022613298}","{'y': 0.3650523, 'x': 0.2395845, 'confidence': 0.116391845}","{'y': 0.55686957, 'x': 0.6275874, 'confidence': 0.02945851}","{'y': 0.5602295, 'x': 0.2695862, 'confidence': 0.05616836}","{'y': 0.6645506, 'x': 0.30989835, 'confidence': 0.082109466}","{'y': 0.6671801, 'x': 0.31204137, 'confidence': 0.118198514}","{'y': 0.95491457, 'x': 0.56325066, 'confidence': 0.09199511}","{'y': 0.9569978, 'x': 0.4182279, 'confidence': 0.08615053}","{'y': 0.97470355, 'x': 0.5158345, 'confidence': 0.06571538}","{'y': 0.85760194, 'x': 0.30667672, 'confidence': 0.03638149}","{'y': 0.9720266, 'x': 0.4881854, 'confidence': 0.07021293}","{'y': 0.9757823, 'x': 0.47458068, 'confidence': 0.06926521}"
"{'y': 0.2030379, 'x': 0.8279793, 'confidence': 0.11013041}","{'y': 0.1687228, 'x': 0.8039854, 'confidence': 0.12878412}","{'y': 0.18096867, 'x': 0.86165476, 'confidence': 0.08331354}","{'y': 0.19245206, 'x': 0.761859, 'confidence': 0.30648652}","{'y': 0.18981974, 'x': 0.918774, 'confidence': 0.25839517}","{'y': 0.34360236, 'x': 0.7156796, 'confidence': 0.17388915}","{'y': 0.34505472, 'x': 0.97027147, 'confidence': 0.18394215}","{'y': 0.59114206, 'x': 0.73699343, 'confidence': 0.11421978}","{'y': 0.56488335, 'x': 0.9972452, 'confidence': 0.12078383}","{'y': 0.599114, 'x': 0.7078646, 'confidence': 0.19830833}","{'y': 0.6069281, 'x': 0.91171676, 'confidence': 0.06530185}","{'y': 0.7360491, 'x': 0.8050675, 'confidence': 0.11861616}","{'y': 0.73109204, 'x': 0.92198586, 'confidence': 0.07372601}","{'y': 0.8388879, 'x': 0.73727757, 'confidence': 0.060142256}","{'y': 0.8825865, 'x': 0.85088336, 'confidence': 0.06577996}","{'y': 0.9655094, 'x': 0.74284184, 'confidence': 0.035332162}","{'y': 0.9676694, 'x': 0.82456946, 'confidence': 0.052711304}"
"{'y': 0.1445749, 'x': 0.8977088, 'confidence': 0.21143182}","{'y': 0.17774557, 'x': 0.9147565, 'confidence': 0.22328816}","{'y': 0.6441712, 'x': 0.2932552, 'confidence': 0.11207425}","{'y': 0.15273234, 'x': 0.932928, 'confidence': 0.17803302}","{'y': 0.13970257, 'x': 0.89502406, 'confidence': 0.20578837}","{'y': 0.17081507, 'x': 0.94442683, 'confidence': 0.22498499}","{'y': 0.15435567, 'x': 0.8973693, 'confidence': 0.24132745}","{'y': 0.27357683, 'x': 0.9710862, 'confidence': 0.20096558}","{'y': 0.5578941, 'x': 0.25814655, 'confidence': 0.11683099}","{'y': 0.56127924, 'x': 0.27663735, 'confidence': 0.12834074}","{'y': 0.5605437, 'x': 0.26620135, 'confidence': 0.12789659}","{'y': 0.6213955, 'x': 0.4999744, 'confidence': 0.032697316}","{'y': 0.6258514, 'x': 0.47917968, 'confidence': 0.03235451}","{'y': 0.69083184, 'x': 0.56258184, 'confidence': 0.039322443}","{'y': 0.6783823, 'x': 0.5573859, 'confidence': 0.034949508}","{'y': 0.85705465, 'x': 0.5318365, 'confidence': 0.0154966265}","{'y': 0.8579686, 'x': 0.31025225, 'confidence': 0.08559181}"
"{'y': 0.6862651, 'x': 0.33553576, 'confidence': 0.07396037}","{'y': 0.6758017, 'x': 0.34022853, 'confidence': 0.06809464}","{'y': 0.67719907, 'x': 0.33147544, 'confidence': 0.06647163}","{'y': 0.67129564, 'x': 0.34350565, 'confidence': 0.0661216}","{'y': 0.66377145, 'x': 0.31022194, 'confidence': 0.05562898}","{'y': 0.3992809, 'x': 0.9759421, 'confidence': 0.14288518}","{'y': 0.4996089, 'x': 0.46804124, 'confidence': 0.015805554}","{'y': 0.41122448, 'x': 0.91682065, 'confidence': 0.122564755}","{'y': 0.52703863, 'x': 0.44936177, 'confidence': 0.009908673}","{'y': 0.4075796, 'x': 0.9109264, 'confidence': 0.117491424}","{'y': 0.5814872, 'x': 0.43790162, 'confidence': 0.011346354}","{'y': 0.45133156, 'x': 0.9528816, 'confidence': 0.1406936}","{'y': 0.4502169, 'x': 0.9562114, 'confidence': 0.13830861}","{'y': 0.5199881, 'x': 0.9702468, 'confidence': 0.13038287}","{'y': 0.5379958, 'x': 0.9711326, 'confidence': 0.13401341}","{'y': 0.554005, 'x': 0.9355363, 'confidence': 0.11384792}","{'y': 0.55475754, 'x': 0.93952036, 'confidence': 0.108279325}"
"{'y': 0.5910864, 'x': 0.52458364, 'confidence': 0.13433804}","{'y': 0.5900376, 'x': 0.5254475, 'confidence': 0.12960272}","{'y': 0.5839138, 'x': 0.5150396, 'confidence': 0.14246728}","{'y': 0.57813114, 'x': 0.5257763, 'confidence': 0.10057262}","{'y': 0.5771297, 'x': 0.52423316, 'confidence': 0.1054594}","{'y': 0.5966139, 'x': 0.5228809, 'confidence': 0.13273875}","{'y': 0.59314674, 'x': 0.5276194, 'confidence': 0.12949368}","{'y': 0.59704584, 'x': 0.5122252, 'confidence': 0.16096632}","{'y': 0.5951297, 'x': 0.5121225, 'confidence': 0.17032807}","{'y': 0.6208239, 'x': 0.5151887, 'confidence': 0.15348166}","{'y': 0.6196139, 'x': 0.51448786, 'confidence': 0.1377853}","{'y': 0.61115545, 'x': 0.51840204, 'confidence': 0.13944598}","{'y': 0.61286414, 'x': 0.5191195, 'confidence': 0.13697714}","{'y': 0.6292418, 'x': 0.5195789, 'confidence': 0.11998162}","{'y': 0.62912893, 'x': 0.5167401, 'confidence': 0.12974098}","{'y': 0.6660018, 'x': 0.5433297, 'confidence': 0.1701956}","{'y': 0.6600932, 'x': 0.5343781, 'confidence': 0.15171228}"
"{'y': 0.5576966, 'x': 0.70188135, 'confidence': 0.23776235}","{'y': 0.5541247, 'x': 0.70374054, 'confidence': 0.24244335}","{'y': 0.5567892, 'x': 0.69034266, 'confidence': 0.21503265}","{'y': 0.55319875, 'x': 0.7036824, 'confidence': 0.2104672}","{'y': 0.5518305, 'x': 0.69578165, 'confidence': 0.22730868}","{'y': 0.567053, 'x': 0.7059567, 'confidence': 0.21130586}","{'y': 0.56843823, 'x': 0.6883413, 'confidence': 0.21721631}","{'y': 0.5704548, 'x': 0.7134547, 'confidence': 0.22207677}","{'y': 0.5709208, 'x': 0.69112384, 'confidence': 0.2128085}","{'y': 0.56846625, 'x': 0.6977193, 'confidence': 0.25611052}","{'y': 0.57709074, 'x': 0.6856974, 'confidence': 0.16740756}","{'y': 0.5805459, 'x': 0.6917863, 'confidence': 0.21438669}","{'y': 0.58343977, 'x': 0.6865464, 'confidence': 0.22428858}","{'y': 0.5914201, 'x': 0.69282484, 'confidence': 0.23817077}","{'y': 0.5916982, 'x': 0.6848858, 'confidence': 0.27545124}","{'y': 0.6130557, 'x': 0.697973, 'confidence': 0.25267026}","{'y': 0.61666256, 'x': 0.6789346, 'confidence': 0.18681474}"
"{'y': 0.028572949, 'x': 0.63963586, 'confidence': 0.31233472}","{'y': 0.018008193, 'x': 0.6448395, 'confidence': 0.23970081}","{'y': 0.022480654, 'x': 0.6103334, 'confidence': 0.3087018}","{'y': 0.02447085, 'x': 0.6494733, 'confidence': 0.3658439}","{'y': 0.033381972, 'x': 0.5953479, 'confidence': 0.3405978}","{'y': 0.11099641, 'x': 0.74028707, 'confidence': 0.15988298}","{'y': 0.12053087, 'x': 0.570829, 'confidence': 0.25690866}","{'y': 0.27421835, 'x': 0.8188675, 'confidence': 0.2254991}","{'y': 0.2778275, 'x': 0.5507851, 'confidence': 0.24983689}","{'y': 0.28288332, 'x': 0.842227, 'confidence': 0.1032662}","{'y': 0.29953533, 'x': 0.55050194, 'confidence': 0.1092873}","{'y': 0.41934404, 'x': 0.7637249, 'confidence': 0.1908629}","{'y': 0.41930073, 'x': 0.6543884, 'confidence': 0.19305156}","{'y': 0.644316, 'x': 0.7466402, 'confidence': 0.21180063}","{'y': 0.6294869, 'x': 0.67763054, 'confidence': 0.19867803}","{'y': 0.7973983, 'x': 0.7580801, 'confidence': 0.07397258}","{'y': 0.7657659, 'x': 0.6411235, 'confidence': 0.0723313}"
"{'y': 0.51660043, 'x': 0.77868766, 'confidence': 0.43501914}","{'y': 0.51136595, 'x': 0.78377306, 'confidence': 0.36964306}","{'y': 0.51230186, 'x': 0.77259994, 'confidence': 0.34059706}","{'y': 0.5120905, 'x': 0.7914121, 'confidence': 0.3286992}","{'y': 0.51312345, 'x': 0.7654123, 'confidence': 0.27302995}","{'y': 0.5463313, 'x': 0.7902638, 'confidence': 0.23169534}","{'y': 0.5489645, 'x': 0.7612585, 'confidence': 0.21291184}","{'y': 0.60475105, 'x': 0.7887757, 'confidence': 0.16303065}","{'y': 0.60587704, 'x': 0.7502297, 'confidence': 0.16713771}","{'y': 0.63357836, 'x': 0.78498846, 'confidence': 0.1675032}","{'y': 0.63230187, 'x': 0.76629126, 'confidence': 0.13605794}","{'y': 0.63474685, 'x': 0.7735879, 'confidence': 0.2825236}","{'y': 0.63645625, 'x': 0.7568132, 'confidence': 0.26217183}","{'y': 0.6727861, 'x': 0.76269203, 'confidence': 0.26898745}","{'y': 0.67556953, 'x': 0.7520595, 'confidence': 0.24424699}","{'y': 0.68480253, 'x': 0.7696855, 'confidence': 0.2219499}","{'y': 0.68471724, 'x': 0.76470983, 'confidence': 0.23209275}"
"{'y': 0.33900157, 'x': 0.5304491, 'confidence': 0.14728716}","{'y': 0.32551336, 'x': 0.53198266, 'confidence': 0.14376517}","{'y': 0.32359755, 'x': 0.50785416, 'confidence': 0.116226755}","{'y': 0.3286199, 'x': 0.5613622, 'confidence': 0.10920127}","{'y': 0.29455796, 'x': 0.42356983, 'confidence': 0.17925814}","{'y': 0.349758, 'x': 0.55918276, 'confidence': 0.16986361}","{'y': 0.33348623, 'x': 0.4060549, 'confidence': 0.13365977}","{'y': 0.35140076, 'x': 0.54776496, 'confidence': 0.10311166}","{'y': 0.41277933, 'x': 0.3878048, 'confidence': 0.0884862}","{'y': 0.33141643, 'x': 0.55195105, 'confidence': 0.07658552}","{'y': 0.50017864, 'x': 0.39739722, 'confidence': 0.19953673}","{'y': 0.616276, 'x': 0.6098343, 'confidence': 0.022124069}","{'y': 0.610465, 'x': 0.43061665, 'confidence': 0.037950724}","{'y': 0.64847004, 'x': 0.57310456, 'confidence': 0.016908396}","{'y': 0.62792856, 'x': 0.42534065, 'confidence': 0.010981404}","{'y': 0.77250874, 'x': 0.49786982, 'confidence': 0.015207691}","{'y': 0.7466011, 'x': 0.3987036, 'confidence': 0.018005295}"
"{'y': 0.028921468, 'x': 0.58520234, 'confidence': 0.06477772}","{'y': 0.015606695, 'x': 0.57079345, 'confidence': 0.035992973}","{'y': 0.037488762, 'x': 0.4533842, 'confidence': 0.022792798}","{'y': 0.008242486, 'x': 0.64492846, 'confidence': 0.019849332}","{'y': 0.035729486, 'x': 0.3159166, 'confidence': 0.040187646}","{'y': 0.16178335, 'x': 0.7667722, 'confidence': 0.05876987}","{'y': 0.20135759, 'x': 0.25122437, 'confidence': 0.0469979}","{'y': 0.37873784, 'x': 0.9717501, 'confidence': 0.11812258}","{'y': 0.4442779, 'x': 0.2316015, 'confidence': 0.13436288}","{'y': 0.33598202, 'x': 0.89125603, 'confidence': 0.051063646}","{'y': 0.5479244, 'x': 0.3815479, 'confidence': 0.10776628}","{'y': 0.9168258, 'x': 0.7610088, 'confidence': 0.09342511}","{'y': 0.9339708, 'x': 0.40465257, 'confidence': 0.09742263}","{'y': 1.0095993, 'x': 0.70447624, 'confidence': 0.027459992}","{'y': 0.9903841, 'x': 0.32256672, 'confidence': 0.094269715}","{'y': 1.0036867, 'x': 0.6269022, 'confidence': 0.023188807}","{'y': 0.99106324, 'x': 0.5463606, 'confidence': 0.033068478}"
"{'y': 0.3893074, 'x': 0.34600547, 'confidence': 0.064388745}","{'y': 0.37309563, 'x': 0.34474692, 'confidence': 0.11660561}","{'y': 0.38916692, 'x': 0.34396857, 'confidence': 0.09700791}","{'y': 0.37645808, 'x': 0.34311464, 'confidence': 0.09103637}","{'y': 0.379698, 'x': 0.33931398, 'confidence': 0.10495518}","{'y': 0.39445236, 'x': 0.33962384, 'confidence': 0.13268977}","{'y': 0.3990485, 'x': 0.34152934, 'confidence': 0.123213485}","{'y': 0.42846093, 'x': 0.34727174, 'confidence': 0.11880838}","{'y': 0.4271672, 'x': 0.33716533, 'confidence': 0.12925795}","{'y': 0.4537964, 'x': 0.3576409, 'confidence': 0.18560907}","{'y': 0.461472, 'x': 0.34175172, 'confidence': 0.2380059}","{'y': 0.45604452, 'x': 0.34433457, 'confidence': 0.14054397}","{'y': 0.4557891, 'x': 0.32754543, 'confidence': 0.14673945}","{'y': 0.4978589, 'x': 0.34953964, 'confidence': 0.1903892}","{'y': 0.49934942, 'x': 0.3335639, 'confidence': 0.18412636}","{'y': 0.49471855, 'x': 0.350128, 'confidence': 0.14145012}","{'y': 0.4951309, 'x': 0.34204778, 'confidence': 0.16384764}"
"{'y': 0.8014151, 'x': 0.83323413, 'confidence': 0.15420003}","{'y': 0.7999584, 'x': 0.83299696, 'confidence': 0.12961076}","{'y': 0.44169572, 'x': 0.3732453, 'confidence': 0.056465104}","{'y': 0.8037832, 'x': 0.83432066, 'confidence': 0.1407023}","{'y': 0.32981256, 'x': 0.34358746, 'confidence': 0.054131147}","{'y': 0.36012864, 'x': 0.56269234, 'confidence': 0.014373369}","{'y': 0.3779506, 'x': 0.48670688, 'confidence': 0.021663228}","{'y': 0.42647293, 'x': 0.58172756, 'confidence': 0.05326873}","{'y': 0.4430884, 'x': 0.44403535, 'confidence': 0.06377836}","{'y': 0.42660707, 'x': 0.57405484, 'confidence': 0.11027525}","{'y': 0.44461372, 'x': 0.47320405, 'confidence': 0.09897946}","{'y': 0.6139164, 'x': 0.5017382, 'confidence': 0.024165474}","{'y': 0.47465622, 'x': 0.35346615, 'confidence': 0.11486129}","{'y': 0.7699458, 'x': 0.6457225, 'confidence': 0.054131817}","{'y': 0.7644002, 'x': 0.45136207, 'confidence': 0.020716095}","{'y': 0.9286965, 'x': 0.52136976, 'confidence': 0.027127488}","{'y': 0.9566161, 'x': 0.28557244, 'confidence': 0.0959086}"
"{'y': 0.34944996, 'x': 0.8025794, 'confidence': 0.45042163}","{'y': 0.34202936, 'x': 0.804281, 'confidence': 0.39102885}","{'y': 0.34305254, 'x': 0.7996936, 'confidence': 0.37140217}","{'y': 0.34071907, 'x': 0.8099302, 'confidence': 0.38315833}","{'y': 0.34221923, 'x': 0.799042, 'confidence': 0.2964642}","{'y': 0.37984812, 'x': 0.81082904, 'confidence': 0.2904758}","{'y': 0.37896124, 'x': 0.80215263, 'confidence': 0.36554015}","{'y': 0.43105176, 'x': 0.79812986, 'confidence': 0.23399967}","{'y': 0.42759356, 'x': 0.79085356, 'confidence': 0.20845143}","{'y': 0.4591672, 'x': 0.7868136, 'confidence': 0.20079564}","{'y': 0.4561914, 'x': 0.77046865, 'confidence': 0.21380605}","{'y': 0.4641043, 'x': 0.79537135, 'confidence': 0.29605708}","{'y': 0.462773, 'x': 0.7913004, 'confidence': 0.27734706}","{'y': 0.5051201, 'x': 0.78010577, 'confidence': 0.25893918}","{'y': 0.5049682, 'x': 0.7807567, 'confidence': 0.28504208}","{'y': 0.588126, 'x': 0.7257548, 'confidence': 0.15488835}","{'y': 0.5893585, 'x': 0.7220098, 'confidence': 0.15568133}"
"{'y': 0.46128806, 'x': 0.8074771, 'confidence': 0.34080115}","{'y': 0.45327213, 'x': 0.8133839, 'confidence': 0.3161346}","{'y': 0.4533415, 'x': 0.80935913, 'confidence': 0.2977806}","{'y': 0.44855633, 'x': 0.8224577, 'confidence': 0.30956542}","{'y': 0.4494015, 'x': 0.8050933, 'confidence': 0.25443956}","{'y': 0.47975975, 'x': 0.822386, 'confidence': 0.23773418}","{'y': 0.48288122, 'x': 0.80483645, 'confidence': 0.30890194}","{'y': 0.52594906, 'x': 0.80482554, 'confidence': 0.21877468}","{'y': 0.52490944, 'x': 0.79206824, 'confidence': 0.19777116}","{'y': 0.5649789, 'x': 0.7920943, 'confidence': 0.16876273}","{'y': 0.559366, 'x': 0.7723561, 'confidence': 0.14424384}","{'y': 0.57559156, 'x': 0.8067782, 'confidence': 0.22532603}","{'y': 0.575696, 'x': 0.8004293, 'confidence': 0.20984903}","{'y': 0.63070303, 'x': 0.79723257, 'confidence': 0.2353631}","{'y': 0.6317389, 'x': 0.7911692, 'confidence': 0.24896714}","{'y': 0.66351175, 'x': 0.81235087, 'confidence': 0.10254702}","{'y': 0.6699067, 'x': 0.8105837, 'confidence': 0.08446538}"
"{'y': 0.01624622, 'x': 0.7562334, 'confidence': 0.17802328}","{'y': 0.014375191, 'x': 0.76166767, 'confidence': 0.2598881}","{'y': 0.014711499, 'x': 0.7528408, 'confidence': 0.20928827}","{'y': 0.020476038, 'x': 0.79007494, 'confidence': 0.17517667}","{'y': 0.025670655, 'x': 0.73808426, 'confidence': 0.1974895}","{'y': 0.03735868, 'x': 0.8083682, 'confidence': 0.19400515}","{'y': 0.038850762, 'x': 0.71810716, 'confidence': 0.24286546}","{'y': 0.0747611, 'x': 0.8215861, 'confidence': 0.25483906}","{'y': 0.043673195, 'x': 0.7092721, 'confidence': 0.20514108}","{'y': 0.10047262, 'x': 0.8103544, 'confidence': 0.20439972}","{'y': 0.08331544, 'x': 0.7310244, 'confidence': 0.101188086}","{'y': 0.12887146, 'x': 0.79468817, 'confidence': 0.2234228}","{'y': 0.13529092, 'x': 0.73998475, 'confidence': 0.19250715}","{'y': 0.22227998, 'x': 0.7643005, 'confidence': 0.09986875}","{'y': 0.23580325, 'x': 0.72714597, 'confidence': 0.16817968}","{'y': 0.2153915, 'x': 0.7434339, 'confidence': 0.15001369}","{'y': 0.2916624, 'x': 0.72724354, 'confidence': 0.066195056}"
"{'y': 0.119820856, 'x': 0.7747337, 'confidence': 0.32873565}","{'y': 0.10667062, 'x': 0.7807236, 'confidence': 0.27568454}","{'y': 0.1080698, 'x': 0.7748186, 'confidence': 0.22359033}","{'y': 0.10686878, 'x': 0.79446465, 'confidence': 0.34555456}","{'y': 0.1028067, 'x': 0.79546034, 'confidence': 0.22250621}","{'y': 0.17039837, 'x': 0.8022573, 'confidence': 0.2501492}","{'y': 0.16797315, 'x': 0.79056776, 'confidence': 0.2682301}","{'y': 0.26076773, 'x': 0.7737406, 'confidence': 0.19747546}","{'y': 0.46235925, 'x': 0.43524453, 'confidence': 0.03489757}","{'y': 0.30586994, 'x': 0.7617311, 'confidence': 0.2261994}","{'y': 0.307545, 'x': 0.75195414, 'confidence': 0.21979535}","{'y': 0.6775511, 'x': 0.59651965, 'confidence': 0.033434007}","{'y': 0.68175006, 'x': 0.48470742, 'confidence': 0.030563524}","{'y': 0.74981517, 'x': 0.5325274, 'confidence': 0.02510614}","{'y': 0.75629544, 'x': 0.48658755, 'confidence': 0.017016292}","{'y': 0.9526168, 'x': 0.5149051, 'confidence': 0.040124398}","{'y': 0.9396989, 'x': 0.52703446, 'confidence': 0.065852635}"
"{'y': 0.03789627, 'x': 0.9120091, 'confidence': 0.10306259}","{'y': 0.12916042, 'x': 0.9329189, 'confidence': 0.110147335}","{'y': 0.13182145, 'x': 0.9306408, 'confidence': 0.084045336}","{'y': 0.13239777, 'x': 0.93599814, 'confidence': 0.11592525}","{'y': 0.25302196, 'x': 0.93761045, 'confidence': 0.13598186}","{'y': 0.33137357, 'x': 0.5604459, 'confidence': 0.021470912}","{'y': 0.28432924, 'x': 0.9238143, 'confidence': 0.1373796}","{'y': 0.39989814, 'x': 0.61146235, 'confidence': 0.027643353}","{'y': 0.3985454, 'x': 0.625486, 'confidence': 0.032129515}","{'y': 0.47545353, 'x': 0.8956754, 'confidence': 0.20294501}","{'y': 0.47120497, 'x': 0.9000513, 'confidence': 0.19541325}","{'y': 0.6079999, 'x': 0.58223313, 'confidence': 0.0314231}","{'y': 0.6302533, 'x': 0.5974194, 'confidence': 0.03089225}","{'y': 0.8231116, 'x': 0.52518106, 'confidence': 0.036909048}","{'y': 0.97116876, 'x': 0.804187, 'confidence': 0.13406922}","{'y': 0.88797456, 'x': 0.52461857, 'confidence': 0.032147918}","{'y': 0.8895202, 'x': 0.54644305, 'confidence': 0.022869559}"
"{'y': 0.17481156, 'x': 0.9723785, 'confidence': 0.17078821}","{'y': 0.16974694, 'x': 0.9720625, 'confidence': 0.15919042}","{'y': 0.17033158, 'x': 0.97098535, 'confidence': 0.13081862}","{'y': 0.14127183, 'x': 0.96169585, 'confidence': 0.1599319}","{'y': 0.14082979, 'x': 0.962065, 'confidence': 0.1712903}","{'y': 0.1731781, 'x': 0.9779074, 'confidence': 0.21335866}","{'y': 0.17515686, 'x': 0.97253394, 'confidence': 0.20785588}","{'y': 0.40936145, 'x': 0.94995004, 'confidence': 0.13281624}","{'y': 0.4653705, 'x': 0.48284915, 'confidence': 0.019779181}","{'y': 0.5930383, 'x': 0.84281707, 'confidence': 0.13798448}","{'y': 0.591846, 'x': 0.83893794, 'confidence': 0.19270769}","{'y': 0.67994744, 'x': 0.54490316, 'confidence': 0.022556368}","{'y': 0.6839169, 'x': 0.4175286, 'confidence': 0.017720496}","{'y': 0.85178053, 'x': 0.49140036, 'confidence': 0.049538277}","{'y': 0.79982436, 'x': 0.4325668, 'confidence': 0.030945947}","{'y': 0.9270112, 'x': 0.50889903, 'confidence': 0.034821633}","{'y': 0.94773257, 'x': 0.44163918, 'confidence': 0.041765682}"
"{'y': 0.33529207, 'x': 0.72461504, 'confidence': 0.12647323}","{'y': 0.40530056, 'x': 0.7469605, 'confidence': 0.15100789}","{'y': 0.40319985, 'x': 0.7091723, 'confidence': 0.13483886}","{'y': 0.33966687, 'x': 0.7361997, 'confidence': 0.0903833}","{'y': 0.4149325, 'x': 0.6929682, 'confidence': 0.13457133}","{'y': 0.42903802, 'x': 0.7526259, 'confidence': 0.11739227}","{'y': 0.42846325, 'x': 0.69404435, 'confidence': 0.18455546}","{'y': 0.52391607, 'x': 0.68199986, 'confidence': 0.025908234}","{'y': 0.5330167, 'x': 0.53117603, 'confidence': 0.019469522}","{'y': 0.91754836, 'x': 0.56581146, 'confidence': 0.13760665}","{'y': 0.9194251, 'x': 0.5613358, 'confidence': 0.10392973}","{'y': 0.45852292, 'x': 0.75588405, 'confidence': 0.07196005}","{'y': 0.59321296, 'x': 0.54176974, 'confidence': 0.01612048}","{'y': 0.6501667, 'x': 0.6127385, 'confidence': 0.016202545}","{'y': 0.4329483, 'x': 0.6975662, 'confidence': 0.14610554}","{'y': 0.9105719, 'x': 0.5612948, 'confidence': 0.06531868}","{'y': 0.8975727, 'x': 0.55830693, 'confidence': 0.034726564}"
"{'y': 0.38919696, 'x': 0.27657124, 'confidence': 0.13810961}","{'y': 0.3855757, 'x': 0.28102627, 'confidence': 0.15268396}","{'y': 0.38779142, 'x': 0.2598883, 'confidence': 0.15548742}","{'y': 0.3800587, 'x': 0.30011117, 'confidence': 0.17152187}","{'y': 0.38263768, 'x': 0.24459925, 'confidence': 0.17025636}","{'y': 0.4204142, 'x': 0.31093276, 'confidence': 0.14842853}","{'y': 0.4462784, 'x': 0.25226462, 'confidence': 0.121876754}","{'y': 0.5083992, 'x': 0.3335559, 'confidence': 0.116522394}","{'y': 0.48230258, 'x': 0.21646048, 'confidence': 0.07454374}","{'y': 0.52755195, 'x': 0.34973398, 'confidence': 0.07562244}","{'y': 0.5458943, 'x': 0.24416293, 'confidence': 0.068422675}","{'y': 0.48154414, 'x': 0.30011797, 'confidence': 0.089759275}","{'y': 0.5045333, 'x': 0.2499238, 'confidence': 0.09145795}","{'y': 0.56437373, 'x': 0.30838656, 'confidence': 0.10320424}","{'y': 0.56969506, 'x': 0.22033808, 'confidence': 0.06921856}","{'y': 0.616498, 'x': 0.30317795, 'confidence': 0.036638737}","{'y': 0.6466049, 'x': 0.2167484, 'confidence': 0.06201598}"
"{'y': 0.25743353, 'x': 0.46044952, 'confidence': 0.123212874}","{'y': 0.24428852, 'x': 0.47000343, 'confidence': 0.14311738}","{'y': 0.2126562, 'x': 0.4234676, 'confidence': 0.08889623}","{'y': 0.17991102, 'x': 0.51150286, 'confidence': 0.070596}","{'y': 0.18414046, 'x': 0.36472788, 'confidence': 0.11938965}","{'y': 0.33121893, 'x': 0.47850847, 'confidence': 0.072676755}","{'y': 0.3059497, 'x': 0.33541822, 'confidence': 0.060959414}","{'y': 0.6199573, 'x': 0.50235206, 'confidence': 0.05117457}","{'y': 0.5716296, 'x': 0.32835826, 'confidence': 0.034132328}","{'y': 0.7401701, 'x': 0.48648962, 'confidence': 0.070969135}","{'y': 0.69823205, 'x': 0.39572713, 'confidence': 0.018317431}","{'y': 0.82135296, 'x': 0.48788252, 'confidence': 0.03398054}","{'y': 0.8249567, 'x': 0.36807302, 'confidence': 0.021808049}","{'y': 0.97635245, 'x': 0.5644434, 'confidence': 0.054696254}","{'y': 0.8666031, 'x': 0.47064453, 'confidence': 0.019123226}","{'y': 0.98111385, 'x': 0.49626005, 'confidence': 0.036507532}","{'y': 0.9824767, 'x': 0.4440765, 'confidence': 0.038276024}"
