Datetime,Room Brightness,Person Status,Dominant Emotion,Person Detected,Other Objects
2024-05-22 22:42:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:28,Ярко освещена,Стоит,neutral,Да,
2024-05-22 22:42:28,Ярко освещена,Стоит,neutral,Да,
2024-05-22 22:42:28,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:28,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:28,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:29,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:29,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:29,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:29,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:29,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:30,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:30,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:31,Ярко освещена,Стоит,happy,Да,
2024-05-22 22:42:31,Ярко освещена,Стоит,happy,Да,
2024-05-22 22:42:31,Ярко освещена,Стоит,happy,Да,
2024-05-22 22:42:31,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:31,Ярко освещена,Стоит,neutral,Да,
2024-05-22 22:42:32,Ярко освещена,Стоит,neutral,Да,
2024-05-22 22:42:33,Ярко освещена,Стоит,neutral,Да,
2024-05-22 22:42:33,Ярко освещена,Стоит,fear,Да,
2024-05-22 22:42:33,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:33,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:33,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:34,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:34,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:34,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:34,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:34,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:35,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:35,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:35,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:36,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:36,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:36,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:36,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:37,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:37,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:37,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:37,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:37,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:37,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:38,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:38,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:38,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:39,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:39,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:39,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:40,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:40,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:40,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:40,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:40,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:40,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:41,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:41,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:41,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:42,Ярко освещена,Стоит,Нет лица,Да,
2024-05-22 22:42:42,Ярко освещена,Стоит,neutral,Да,
2024-05-22 22:42:42,Ярко освещена,Стоит,Нет лица,Да,
