Datetime,Room Brightness,Person Status,Dominant Emotion,Person Detected,Other Objects
2024-05-21 14:56:52,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:53,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:53,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:53,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:53,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:53,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:53,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:53,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:54,Ярко освещена,Сидит,happy,Да,
2024-05-21 14:56:54,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:56:54,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:56:54,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:54,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:56:54,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:54,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:55,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:56:55,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:55,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:55,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:56:55,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:55,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:55,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:56,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:56,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:56,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:56,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:56,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:56,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:56,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:56,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:57,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:57,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:57,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:57,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:57,Ярко освещена,Стоит,Нет лица,Нет,
2024-05-21 14:56:57,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:57,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:56:57,Ярко освещена,Стоит,Нет лица,Нет,
2024-05-21 14:56:58,Ярко освещена,Стоит,neutral,Нет,
2024-05-21 14:56:58,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:58,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:58,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:58,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:58,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:58,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:59,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:59,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:59,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:56:59,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:59,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:59,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:56:59,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:00,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:00,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:00,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:00,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:00,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:00,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:00,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:01,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:01,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:01,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:01,Ярко освещена,Сидит,happy,Да,
2024-05-21 14:57:01,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:01,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:01,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:02,Ярко освещена,Сидит,happy,Да,
2024-05-21 14:57:02,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:02,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:02,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:57:02,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:02,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:03,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:57:03,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:57:03,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:03,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:03,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:57:03,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:57:04,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:04,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:04,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:57:04,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:57:04,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:05,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:57:05,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:05,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:05,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:05,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:57:06,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:06,Ярко освещена,Стоит,neutral,Нет,
2024-05-21 14:57:06,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:06,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:06,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:57:06,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:57:07,Ярко освещена,Сидит,fear,Нет,
2024-05-21 14:57:07,Ярко освещена,Стоит,fear,Нет,
2024-05-21 14:57:07,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:07,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:07,Ярко освещена,Стоит,Нет лица,Нет,
2024-05-21 14:57:07,Ярко освещена,Стоит,Нет лица,Нет,
2024-05-21 14:57:07,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:08,Ярко освещена,Стоит,Нет лица,Нет,
2024-05-21 14:57:08,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:08,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:57:08,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:08,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:08,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:08,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:09,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:09,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:09,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 14:57:09,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:09,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:09,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:10,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:10,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:10,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:10,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:10,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 14:57:11,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:57:11,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:11,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:11,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:11,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:12,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:12,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:12,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 14:57:12,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:57:12,Ярко освещена,Сидит,neutral,Да,
