Datetime,Room Brightness,Person Status,Dominant Emotion,Person Detected,Other Objects
2024-05-22 23:35:41,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:42,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:42,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:42,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:42,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:42,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:42,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:43,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:44,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:44,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:44,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:44,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:44,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:44,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:45,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:46,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:46,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:46,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:46,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-22 23:35:46,Ярко освещена,Нет человека,Нет лица,Нет,
