Datetime,Room Brightness,Person Status,Dominant Emotion,Person Detected,Other Objects
2024-05-23 00:58:21,Ярко освещена,Стоит,,Да,cup
2024-05-23 00:58:21,Ярко освещена,Стоит,,Да,cup
2024-05-23 00:58:21,Ярко освещена,Стоит,,Да,cup
2024-05-23 00:58:21,Ярко освещена,Стоит,,Да,cup
2024-05-23 00:58:21,Ярко освещена,Стоит,happy,Да,cup
2024-05-23 00:58:21,Ярко освещена,Сидит,happy,Да,cup
2024-05-23 00:58:22,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:22,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:22,Ярко освещена,Стоит,happy,Да,
2024-05-23 00:58:22,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:23,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:23,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:23,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:24,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:24,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:24,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:24,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:24,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:25,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:25,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:25,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:25,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:25,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:25,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:26,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:26,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:26,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:26,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:26,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:26,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:27,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:27,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:27,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:27,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:28,Ярко освещена,Сидит,happy,Да,cup
2024-05-23 00:58:28,Ярко освещена,Сидит,,Да,cup
2024-05-23 00:58:28,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:29,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:29,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:29,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:29,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:29,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:30,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:30,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:30,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:30,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:30,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:30,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:31,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:31,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:31,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:31,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:31,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:32,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:32,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:32,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:32,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:33,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:33,Ярко освещена,Стоит,,Да,
2024-05-23 00:58:33,Ярко освещена,Стоит,,Да,
2024-05-23 00:58:34,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:34,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:34,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:34,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:34,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:34,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:35,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:35,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:35,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:36,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:36,Ярко освещена,Сидит,,Да,
2024-05-23 00:58:36,Ярко освещена,Сидит,happy,Да,
2024-05-23 00:58:37,Ярко освещена,Сидит,happy,Да,
