Datetime,Room Brightness,Person Status,Dominant Emotion,Person Detected,Other Objects
2024-05-21 15:06:26,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:27,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:28,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:28,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:28,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:28,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:28,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:28,Ярко освещена,Стоит,Нет лица,Нет,
2024-05-21 15:06:28,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 15:06:28,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:28,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:29,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:29,Ярко освещена,Стоит,Нет лица,Да,
2024-05-21 15:06:29,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:29,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:29,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:29,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:30,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:30,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:30,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:30,Ярко освещена,Сидит,happy,Да,
2024-05-21 15:06:30,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:30,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:31,Ярко освещена,Сидит,Нет лица,Да,
2024-05-21 15:06:31,Ярко освещена,Сидит,Нет лица,Нет,
2024-05-21 15:06:31,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:31,Ярко освещена,Сидит,happy,Да,
2024-05-21 15:06:31,Ярко освещена,Сидит,happy,Да,
2024-05-21 15:06:31,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:32,Ярко освещена,Сидит,fear,Да,
2024-05-21 15:06:32,Ярко освещена,Сидит,happy,Да,
2024-05-21 15:06:32,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:32,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:32,Ярко освещена,Сидит,happy,Да,
2024-05-21 15:06:33,Ярко освещена,Стоит,happy,Да,
2024-05-21 15:06:33,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:33,Ярко освещена,Сидит,happy,Да,
2024-05-21 15:06:33,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:33,Ярко освещена,Сидит,happy,Да,
2024-05-21 15:06:34,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:34,Ярко освещена,Стоит,neutral,Да,
2024-05-21 15:06:34,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:34,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:34,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:35,Ярко освещена,Сидит,sad,Да,
2024-05-21 15:06:35,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:35,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:35,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:36,Ярко освещена,Стоит,neutral,Да,
2024-05-21 15:06:36,Ярко освещена,Сидит,neutral,Да,
2024-05-21 15:06:36,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:36,Ярко освещена,Сидит,sad,Да,
2024-05-21 15:06:37,Ярко освещена,Сидит,angry,Да,
2024-05-21 15:06:37,Ярко освещена,Сидит,neutral,Да,
