Datetime,Room Brightness,Person Status,Dominant Emotion,Person Detected,Other Objects
2024-05-23 00:57:10,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:10,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:10,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:10,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:10,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:10,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:11,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:12,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:12,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:12,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:12,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:12,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:12,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:13,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:14,Ярко освещена,Нет человека,Нет лица,Нет,
2024-05-23 00:57:14,Ярко освещена,Нет человека,Нет лица,Нет,
